property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,active
13880612,3 bed terraced house to rent,2799,https://www.zoopla.co.uk/to-rent/details/13880612/,"Sternhall Lane, London SE15",Kushy Move,3,1,9,1,4,0.49,9,0.22,9,0.62,9,0.49,9,1
16578165,3 bed terraced house to rent,2000,https://www.zoopla.co.uk/to-rent/details/16578165/,"Dagenham Avenue, Dagenham, Essex RM9",Stoneshaw Estates,3,1,14,1,3,0.45928571428571424,14,0.21285714285714286,14,0.685,28,0.2864285714285714,14,1
20841547,3 bed maisonette to rent,2492,https://www.zoopla.co.uk/to-rent/details/20841547/,"Rotherfield Street, Islington, London N1",City Property Consultants,3,1,7,1,5,0.46125,8,0.18875,8,0.879,16,0.38125,8,1
27434037,1 bed flat to rent,1500,https://www.zoopla.co.uk/to-rent/details/27434037/,"High Road, Willesden, London NW10",A to Z Property Services,1,1,7,1,3,0.47,7,0.35,7,0.67,7,0.13,7,1
28447288,1 bed flat to rent,1820,https://www.zoopla.co.uk/to-rent/details/28447288/,"Fortune Green Road, London NW6",Concept Studio Apartments,1,1,9,1,5,0.45,9,0.37,9,0.63,9,0.61,9,1
30447255,3 bed flat to rent,12978,https://www.zoopla.co.uk/to-rent/details/30447255/,"Ennismore Gardens, London SW7",Peerman Premier,3,1,10,0,1,0.5,10,0.22,10,0.69,10,0.38,10,1
33126906,3 bed flat to rent,3200,https://www.zoopla.co.uk/to-rent/details/33126906/,"Halton Road, London N1",Hanley Estates,3,1,6,1,3,0.42,7,0.22,7,0.83,7,0.39,7,1
34071035,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34071035/,"Westpoint Apartments, Clarendon Road, Turnpike Lane N8",Alex Crown Lettings & Estate Agents,1,1,7,1,1,0.5,7,0.5,7,0.63,7,0.6,7,1
34905417,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34905417/,"Ivy Point, 5 Hannaford Walk, Bromley By Bow, London E3",Domeview Properties,1,1,5,1,1,0.455,5,0.188,5,0.493,10,0.753,5,1
36451332,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/36451332/,"Roma Corte, 2 Elmira Street, Lewisham, London SE13",Domeview Properties,1,1,5,1,1,0.42,5,0.17,5,0.47,5,0.82,5,1
36978262,3 bed flat to rent,3800,https://www.zoopla.co.uk/to-rent/details/36978262/,"Tysoe Street, London EC1R",Parks Properties,3,1,6,0,2,0.43,6,0.18,6,0.84,6,0.78,6,1
38012269,1 bed flat to rent,1712,https://www.zoopla.co.uk/to-rent/details/38012269/,"Boundary Road, London NW8",Rent,1,1,8,1,2,0.438,8,0.211,8,0.607,16,0.769,8,1
38755491,3 bed flat to rent,3300,https://www.zoopla.co.uk/to-rent/details/38755491/,"Crewdson Road, London SW9",Avrasons Ltd,3,1,9,1,5,0.53,9,0.45,9,0.73,9,0.46,9,1
38757331,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/38757331/,"Oval Quarter, Oval, London SW9",Avrasons Ltd,2,1,9,1,3,0.48,10,0.29,10,0.64,10,0.54,10,1
38875273,1 bed flat to rent,1517,https://www.zoopla.co.uk/to-rent/details/38875273/,"Pulse Development, Colindale NW9",Becker and Company,1,1,6,1,1,0.58,6,0.14,6,0.59,6,0.66,6,1
38955850,1 bed flat to rent,1993,https://www.zoopla.co.uk/to-rent/details/38955850/,"Moore House, Canary Central, Canary Wharf, London E14",Jack Barclay Estates,1,1,5,0,0,0.432,5,0.346,5,0.295,10,0.549,5,1
39097798,3 bed flat to rent,6283,https://www.zoopla.co.uk/to-rent/details/39097798/,"Thackeray Street, Kensington W8",Thackerays,3,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
39207568,1 bed flat to rent,2383,https://www.zoopla.co.uk/to-rent/details/39207568/,"Hastings Street, Kings Cross WC1H",Fyfe Mcdade Ltd,1,1,7,1,4,0.51,8,0.32,8,0.6,8,0.61,8,1
39445779,1 bed flat to rent,1600,https://www.zoopla.co.uk/to-rent/details/39445779/,"Montrell Road, London SW2",Avrasons Ltd,1,1,8,0,0,0.49,8,0.32,8,0.87,8,0.63,8,1
39461193,3 bed semi-detached house to rent,2200,https://www.zoopla.co.uk/to-rent/details/39461193/,"Oldfield Lane North, Greenford UB6",Connells - Harrow,3,1,25,1,4,0.4346153846153846,26,0.2423076923076923,26,0.698,52,0.8319230769230769,26,1
39976447,1 bed flat to rent,1900,https://www.zoopla.co.uk/to-rent/details/39976447/,"Cedar House, Emerald Gardens, Wembley Park HA9",Wembley Park Residential,1,0,3,1,1,0.474,4,0.221,4,0.508,8,0.733,4,1
