property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,large_windows_score,large_windows_count,high_ceiling_score,high_ceiling_count,fireplace_score,fireplace_count,active
13880612,3 bed terraced house to rent,2799,https://www.zoopla.co.uk/to-rent/details/13880612/,"Sternhall Lane, London SE15",Kushy Move,3,1,9,1,4,0.489,9,0.22,9,0.616,18,0.486,9,0.533,9,0.466,9,0.314,2,1
16578165,3 bed terraced house to rent,2000,https://www.zoopla.co.uk/to-rent/details/16578165/,"Dagenham Avenue, Dagenham, Essex RM9",Stoneshaw Estates,3,1,14,1,3,0.459,14,0.213,14,0.685,28,0.286,14,0.452,13,0.411,13,-1.0,0,1
20841547,3 bed maisonette to rent,2492,https://www.zoopla.co.uk/to-rent/details/20841547/,"Rotherfield Street, Islington, London N1",City Property Consultants,3,1,7,1,5,0.461,8,0.189,8,0.879,16,0.381,8,0.545,5,0.448,5,-1.0,0,1
27434037,1 bed flat to rent,1500,https://www.zoopla.co.uk/to-rent/details/27434037/,"High Road, Willesden, London NW10",A to Z Property Services,1,1,7,1,3,0.473,7,0.353,7,0.672,14,0.134,7,0.558,7,0.508,7,0.204,1,1
28447288,1 bed flat to rent,1820,https://www.zoopla.co.uk/to-rent/details/28447288/,"Fortune Green Road, London NW6",Concept Studio Apartments,1,1,9,1,5,0.453,9,0.37,9,0.632,18,0.612,9,0.51,8,0.465,8,-1.0,0,1
29033922,1 bed flat to rent,1250,https://www.zoopla.co.uk/to-rent/details/29033922/,"Chatsworth Road, Croydon CR0",Johnson Hewitt,1,1,6,1,2,0.453,6,0.181,6,0.741,12,0.347,6,0.546,6,0.484,6,0.387,2,1
30447255,3 bed flat to rent,12978,https://www.zoopla.co.uk/to-rent/details/30447255/,"Ennismore Gardens, London SW7",Peerman Premier,3,1,10,0,1,0.5,10,0.217,10,0.686,20,0.382,10,0.677,9,0.493,9,0.61,3,1
30800823,2 bed terraced house to rent,1700,https://www.zoopla.co.uk/to-rent/details/30800823/,"Armstead Walk, Dagenham, Essex RM10",Stoneshaw Estates,2,1,8,1,3,0.488,9,0.245,9,0.826,18,0.409,9,0.528,7,0.482,7,0.422,3,1
31693152,2 bed flat to rent,2405,https://www.zoopla.co.uk/to-rent/details/31693152/,"Switch House, 4 Blackwall Way, East India Quays, Canary Wharf, London E14",Jack Barclay Estates,2,0,2,0,0,0.458,2,0.258,2,0.876,4,0.875,2,0.67,2,0.429,2,-1.0,0,1
33126906,3 bed flat to rent,3200,https://www.zoopla.co.uk/to-rent/details/33126906/,"Halton Road, London N1",Hanley Estates,3,1,6,1,3,0.419,7,0.216,7,0.829,14,0.394,7,0.52,6,0.476,6,0.135,1,1
34071035,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34071035/,"Westpoint Apartments, Clarendon Road, Turnpike Lane N8",Alex Crown Lettings & Estate Agents,1,1,7,1,1,0.496,7,0.499,7,0.634,14,0.597,7,0.552,7,0.522,7,0.309,3,1
34713420,1 bed flat to rent,1777,https://www.zoopla.co.uk/to-rent/details/34713420/,"Greenfield Gardens, London NW2",Rent,1,1,9,1,3,0.442,9,0.237,9,0.687,18,0.588,9,0.441,9,0.467,9,0.077,3,1
34905417,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/34905417/,"Ivy Point, 5 Hannaford Walk, Bromley By Bow, London E3",Domeview Properties,1,1,5,1,1,0.455,5,0.188,5,0.493,10,0.753,5,0.591,4,0.461,4,0.08,1,1
35909258,2 bed flat to rent,2058,https://www.zoopla.co.uk/to-rent/details/35909258/,"Finchley Road, London NW3",Rent,2,1,7,1,3,0.456,7,0.302,7,0.6,14,0.689,7,0.394,6,0.53,6,0.216,2,1
36451332,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/36451332/,"Roma Corte, 2 Elmira Street, Lewisham, London SE13",Domeview Properties,1,1,5,1,1,0.418,5,0.166,5,0.466,10,0.824,5,0.533,5,0.496,5,0.089,1,1
36978262,3 bed flat to rent,3800,https://www.zoopla.co.uk/to-rent/details/36978262/,"Tysoe Street, London EC1R",Parks Properties,3,1,6,0,2,0.428,6,0.182,6,0.837,12,0.778,6,0.535,5,0.45,5,0.098,2,1
37726757,3 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/37726757/,"Ricards Road, Wimbledon, London SW19",Plum Lettings,3,1,7,1,4,0.51,8,0.247,8,0.855,16,0.705,8,0.643,7,0.48,7,0.654,1,1
37728757,1 bed flat to rent,1400,https://www.zoopla.co.uk/to-rent/details/37728757/,"Harrowdene Gardens, Teddington TW11",Ross Hand Estate Agents,1,0,3,0,0,0.444,3,0.188,3,0.71,6,0.55,3,0.59,2,0.517,2,0.616,1,1
38012269,1 bed flat to rent,1712,https://www.zoopla.co.uk/to-rent/details/38012269/,"Boundary Road, London NW8",Rent,1,1,8,1,2,0.438,8,0.211,8,0.607,16,0.769,8,0.572,8,0.479,8,0.13,2,1
38069266,1 bed flat to rent,1625,https://www.zoopla.co.uk/to-rent/details/38069266/,"Uplands Road, Crouch End N8",Living Space Estate Agents,1,0,4,1,1,0.425,4,0.395,4,0.595,8,0.804,4,0.445,3,0.513,3,-1.0,0,1
38755491,3 bed flat to rent,3300,https://www.zoopla.co.uk/to-rent/details/38755491/,"Crewdson Road, London SW9",Avrasons Ltd,3,1,9,1,5,0.533,9,0.451,9,0.733,18,0.457,9,0.548,9,0.494,9,0.522,2,1
38757331,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/38757331/,"Oval Quarter, Oval, London SW9",Avrasons Ltd,2,1,9,1,3,0.481,10,0.286,10,0.641,20,0.542,10,0.601,9,0.449,9,0.103,1,1
38875273,1 bed flat to rent,1517,https://www.zoopla.co.uk/to-rent/details/38875273/,"Pulse Development, Colindale NW9",Becker and Company,1,1,6,1,1,0.578,6,0.143,6,0.586,12,0.658,6,0.614,6,0.499,6,0.074,2,1
38955850,1 bed flat to rent,1993,https://www.zoopla.co.uk/to-rent/details/38955850/,"Moore House, Canary Central, Canary Wharf, London E14",Jack Barclay Estates,1,1,5,0,0,0.432,5,0.346,5,0.295,10,0.549,5,0.571,4,0.492,4,-1.0,0,1
